unit_type,unit_name,combustion_unit_category,tech_scenario,scenario_rank,capex_formula,efficiency,...8
PRH (Process Heater),Ammonia Plant Primary Reformer,specific (incl),baseline,worst,C = 26000*(process_unit_heat_demand_in_kW/1.56)^0.6732,0.7,NA
PRH (Process Heater),Ammonia Plant Primary Reformer,specific (incl),eb,best,Too high temperature for electrification,NA,NA
PRH (Process Heater),Ammonia Plant Primary Reformer,specific (incl),eb,worst,Too high temperature for electrification,NA,NA
PRH (Process Heater),Ammonia Plant Primary Reformer,specific (incl),hp,best,Too high temperature for electrification,NA,NA
PRH (Process Heater),Ammonia Plant Primary Reformer,specific (incl),hp,worst,Too high temperature for electrification,NA,NA
PRH (Process Heater),R-1,specific (incl),baseline,best,C = 20150*(process_unit_heat_demand_in_kW/1.56)^0.6732,0.75,NA
PRH (Process Heater),R-1,specific (incl),baseline,worst,C = 26000*(process_unit_heat_demand_in_kW/1.56)^0.6732,0.7,NA
PRH (Process Heater),R-1,specific (incl),eb,best,C = 60000*(process_unit_heat_demand_in_kW/57.6)^0.6476,0.9,NA
PRH (Process Heater),R-1,specific (incl),eb,worst,C = 85000*(process_unit_heat_demand_in_kW/57.6)^0.6476,0.85,NA
PRH (Process Heater),R-1,specific (incl),hp,best,C = 60000*(process_unit_heat_demand_in_kW/57.6)^0.6476,0.9,NA
PRH (Process Heater),R-1,specific (incl),hp,worst,C = 85000*(process_unit_heat_demand_in_kW/57.6)^0.6476,0.85,NA
PRH (Process Heater),Starch Dryer/ES-31,specific (incl),baseline,best,C = 20150*(process_unit_heat_demand_in_kW/1.56)^0.6732,0.75,NA
PRH (Process Heater),Starch Dryer/ES-31,specific (incl),baseline,worst,C = 26000*(process_unit_heat_demand_in_kW/1.56)^0.6732,0.7,NA
PRH (Process Heater),Starch Dryer/ES-31,specific (incl),eb,best,C = 60000*(process_unit_heat_demand_in_kW/57.6)^0.6476,0.9,NA
PRH (Process Heater),Starch Dryer/ES-31,specific (incl),eb,worst,C = 85000*(process_unit_heat_demand_in_kW/57.6)^0.6476,0.85,NA
PRH (Process Heater),Starch Dryer/ES-31,specific (incl),hp,best,C = 60000*(process_unit_heat_demand_in_kW/57.6)^0.6476,0.9,NA
PRH (Process Heater),Starch Dryer/ES-31,specific (incl),hp,worst,C = 85000*(process_unit_heat_demand_in_kW/57.6)^0.6476,0.85,NA
PRH (Process Heater),Startup Heater,specific (incl),baseline,best,C = 20150*(process_unit_heat_demand_in_kW/1.56)^0.6732,0.75,NA
PRH (Process Heater),Startup Heater,specific (incl),baseline,worst,C = 26000*(process_unit_heat_demand_in_kW/1.56)^0.6732,0.7,NA
PRH (Process Heater),Startup Heater,specific (incl),eb,best,C = 60000*(process_unit_heat_demand_in_kW/57.6)^0.6476,0.9,NA
PRH (Process Heater),Startup Heater,specific (incl),eb,worst,C = 85000*(process_unit_heat_demand_in_kW/57.6)^0.6476,0.85,NA
PRH (Process Heater),Startup Heater,specific (incl),hp,best,C = 60000*(process_unit_heat_demand_in_kW/57.6)^0.6476,0.9,NA
PRH (Process Heater),Startup Heater,specific (incl),hp,worst,C = 85000*(process_unit_heat_demand_in_kW/57.6)^0.6476,0.85,NA
PRH (Process Heater),Synthetic Ammonia Plant Reformer,specific (incl),baseline,best,C = 20150*(process_unit_heat_demand_in_kW/1.56)^0.6732,0.75,NA
PRH (Process Heater),Synthetic Ammonia Plant Reformer,specific (incl),baseline,worst,C = 26000*(process_unit_heat_demand_in_kW/1.56)^0.6732,0.7,NA
PRH (Process Heater),Synthetic Ammonia Plant Reformer,specific (incl),eb,best,Too high temperature for electrification,NA,NA
PRH (Process Heater),Synthetic Ammonia Plant Reformer,specific (incl),eb,worst,Too high temperature for electrification,NA,NA
PRH (Process Heater),Synthetic Ammonia Plant Reformer,specific (incl),hp,best,Too high temperature for electrification,NA,NA
PRH (Process Heater),Synthetic Ammonia Plant Reformer,specific (incl),hp,worst,Too high temperature for electrification,NA,NA
