unit_type,unit_name,combustion_unit_category,tech_scenario,scenario_rank,capex_formula,efficiency,
PD (Product or intermediate product dryer),EU 043 TPM No. 6,specific (incl),hp,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),Paper Machine Dry End - SN-15,specific (incl),baseline,best,C = 120000*(S/1829)^0.62,90%,
PD (Product or intermediate product dryer),Paper Machine Dry End - SN-15,specific (incl),baseline,worst,C = 1700000*(S/9010)^0.62,85%,
PD (Product or intermediate product dryer),Paper Machine Dry End - SN-15,specific (incl),eb,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),Paper Machine Dry End - SN-15,specific (incl),eb,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),Paper Machine Dry End - SN-15,specific (incl),hp,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),Paper Machine Dry End - SN-15,specific (incl),hp,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),Yeast Dryer,specific (incl),baseline,best,C = 120000*(S/1829)^0.62,90%,
PD (Product or intermediate product dryer),Yeast Dryer,specific (incl),baseline,worst,C = 1700000*(S/9010)^0.62,85%,
PD (Product or intermediate product dryer),Yeast Dryer,specific (incl),eb,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),Yeast Dryer,specific (incl),eb,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),Yeast Dryer,specific (incl),hp,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),Yeast Dryer,specific (incl),hp,worst,C = 2000000*(S/9010)^0.62,97%,
PRH (Process Heater),Ammonia Plant Primary Reformer,specific (incl),baseline,best,C = 20150*(S/42.6)^0.6732,75%,
PRH (Process Heater),Ammonia Plant Primary Reformer,specific (incl),baseline,worst,C = 26000*(S/42.6)^0.6732,70%,
PRH (Process Heater),Ammonia Plant Primary Reformer,specific (incl),eb,best,Too high temperature for electrification,Too high temperature for electrification,
PRH (Process Heater),Ammonia Plant Primary Reformer,specific (incl),eb,worst,Too high temperature for electrification,Too high temperature for electrification,
PRH (Process Heater),Ammonia Plant Primary Reformer,specific (incl),hp,best,Too high temperature for electrification,Too high temperature for electrification,
PRH (Process Heater),Ammonia Plant Primary Reformer,specific (incl),hp,worst,Too high temperature for electrification,Too high temperature for electrification,
