facility_id,tech_scenario,capex,change_in_electricity_demand_kwh,heat_mmbtu,facility_name,state,fuels,naics_code,naics_description,county_fips,subregion,latitude,longitude,sector,r,t,elec_price,ng_price,ngboiler_om_best,ngboiler_om_worst,eboiler_om_best,eboiler_om_worst,hthp_om_best,hthp_om_worst
1001892,Scenario2,8188820.263099665,74758144.59066223,343894.3330749999,billerud quinnesec llc,MI,"['Natural Gas (Weighted U.S. Average)', 'Propane', nan, 'Bituminous', 'Wood and Wood Residuals (dry basis)']",322120,Paper Mills,26043,RFCW,45.7952,-87.9576,Pulp & Paper,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1001892,Scenario3,436527.1109483128,90706932.14510396,343894.3330749999,billerud quinnesec llc,MI,"['Natural Gas (Weighted U.S. Average)', 'Propane', nan, 'Bituminous', 'Wood and Wood Residuals (dry basis)']",322120,Paper Mills,26043,RFCW,45.7952,-87.9576,Pulp & Paper,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1001892,Scenario4,7369938.2367897,67282330.131596,343894.3330749999,billerud quinnesec llc,MI,"['Natural Gas (Weighted U.S. Average)', 'Propane', nan, 'Bituminous', 'Wood and Wood Residuals (dry basis)']",322120,Paper Mills,26043,RFCW,45.7952,-87.9576,Pulp & Paper,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1002346,Baseline,110981.54117002756,0,592419.1481341877,jbs/swift pork company,IL,"['Other Biomass Gases', 'Natural Gas (Weighted U.S. Average)']",311611,Animal (except Poultry) Slaughtering,17017,SRMW,39.99379,-90.404577,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1002346,Scenario1,835550.6468548418,173620913.6321749,592419.1481341877,jbs/swift pork company,IL,"['Other Biomass Gases', 'Natural Gas (Weighted U.S. Average)']",311611,Animal (except Poultry) Slaughtering,17017,SRMW,39.99379,-90.404577,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1002346,Scenario2,14106699.23261421,103779510.88277021,592419.1481341877,jbs/swift pork company,IL,"['Other Biomass Gases', 'Natural Gas (Weighted U.S. Average)']",311611,Animal (except Poultry) Slaughtering,17017,SRMW,39.99379,-90.404577,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1002346,Scenario3,751995.5821693577,156258822.2689574,592419.1481341877,jbs/swift pork company,IL,"['Other Biomass Gases', 'Natural Gas (Weighted U.S. Average)']",311611,Animal (except Poultry) Slaughtering,17017,SRMW,39.99379,-90.404577,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1002346,Scenario4,12696029.309352791,93401559.7944932,592419.1481341877,jbs/swift pork company,IL,"['Other Biomass Gases', 'Natural Gas (Weighted U.S. Average)']",311611,Animal (except Poultry) Slaughtering,17017,SRMW,39.99379,-90.404577,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1002356,Baseline,402037.788021843,0,2780480.964945345,one earth energy llc,IL,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,17053,SRMW,40.471085,-88.39574,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1002356,Scenario1,3921602.9328974807,814878531.5111649,2780480.964945345,one earth energy llc,IL,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,17053,SRMW,40.471085,-88.39574,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1002356,Scenario2,66208880.68528214,448006347.7201986,2780480.964945345,one earth energy llc,IL,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,17053,SRMW,40.471085,-88.39574,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1002356,Scenario3,3529442.6396077326,733390678.3600484,2780480.964945345,one earth energy llc,IL,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,17053,SRMW,40.471085,-88.39574,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1002356,Scenario4,59587992.61675392,403205712.94817865,2780480.964945345,one earth energy llc,IL,['Natural Gas (Weighted U.S. Average)'],325193,Ethyl Alcohol Manufacturing,17053,SRMW,40.471085,-88.39574,Chemicals,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1002614,Baseline,87606.10120632796,0,445908.7825103656,solae co gibson,IL,['Natural Gas (Weighted U.S. Average)'],311224,Soybean and Other Oilseed Processing,17053,SRMW,40.611184,-88.181952,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1002614,Scenario1,628911.7643111676,130682964.0127101,445908.7825103656,solae co gibson,IL,['Natural Gas (Weighted U.S. Average)'],311224,Soybean and Other Oilseed Processing,17053,SRMW,40.611184,-88.181952,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1002614,Scenario2,10617990.8260327,68292048.7269958,445908.7825103656,solae co gibson,IL,['Natural Gas (Weighted U.S. Average)'],311224,Soybean and Other Oilseed Processing,17053,SRMW,40.611184,-88.181952,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1002614,Scenario3,566020.5878800508,117614667.6114391,445908.7825103656,solae co gibson,IL,['Natural Gas (Weighted U.S. Average)'],311224,Soybean and Other Oilseed Processing,17053,SRMW,40.611184,-88.181952,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1002614,Scenario4,9556191.74342943,61462843.85429621,445908.7825103656,solae co gibson,IL,['Natural Gas (Weighted U.S. Average)'],311224,Soybean and Other Oilseed Processing,17053,SRMW,40.611184,-88.181952,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1003135,Baseline,201812.3767433679,0,1215003.392385978,carbon green bioenergy,MI,"['Natural Gas (Weighted U.S. Average)', 'Other Biomass Gases']",325193,Ethyl Alcohol Manufacturing,26015,RFCM,42.76601,-85.07428,Chemicals,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1003135,Scenario1,1713646.2817521566,356082344.2601885,1215003.392385978,carbon green bioenergy,MI,"['Natural Gas (Weighted U.S. Average)', 'Other Biomass Gases']",325193,Ethyl Alcohol Manufacturing,26015,RFCM,42.76601,-85.07428,Chemicals,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1003135,Scenario2,28931690.471140314,195768012.49606574,1215003.392385978,carbon green bioenergy,MI,"['Natural Gas (Weighted U.S. Average)', 'Other Biomass Gases']",325193,Ethyl Alcohol Manufacturing,26015,RFCM,42.76601,-85.07428,Chemicals,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
