facility_id,latitude,longitude,census_tract
1004987,31.770486,-84.781229,13243790200
1005220,42.979024,-85.903336,26139024401
1007063,45.453963,-98.137741,46013951900
1000427,40.795056,-85.825611,18169102800
1006731,33.3286,-81.9537,13245010706
1002179,35.77167,-84.33065,47105060201
1004656,44.1572,-94.0309,27013170800
1000855,41.4514,-97.095,31037964800
1000348,34.8456,-80.8942,45091061203
1000019,41.859603,-103.637032,31157953700
1007933,42.259646,-84.789726,26025003600
1008708,37.302012,-77.264354,51670980100
1006081,38.731961,-84.407214,21191930102
1000063,40.585,-98.318889,31001965400
1001712,29.72613,-95.10802,48201343601
1002963,31.492253,-87.898805,01025957902
1005012,32.276643,-92.727371,22049970200
1011729,37.49572,-77.43354,51760060700
1006667,28.812639,-81.865221,12069030602
1007964,32.453775,-87.977104,01091973400
1001677,40.483359,-99.077224,31099966600
1005653,30.7766,-89.8577,22117950900
1006703,33.360815,-88.458046,28087001100
1007627,31.621457,-90.079369,28077960100
1006936,39.760046,-99.304262,20147475300
1004017,44.382194,-123.159618,41043030600
1004821,40.84121,-84.3423,39161020500
1002893,46.10396,-118.9184,53071920000
1006847,43.616667,-88.716667,55027960200
1002205,37.392,-120.725,06047000301
1010679,40.70483,-84.08,39003013800
1000407,35.0828,-90.137200000000007,47157980200
1000032,39.281072,-81.637901,39167020202
1007824,36.04927,-102.00131,48341950201
1013820,41.12029,-80.35955,42073010202
1002154,44.186805,-93.995493,27013170300
1002713,36.80376,-76.28578,51550020500
1004599,40.8412,-84.9307,18001030300
1003855,42.0603,-94.23832,19073080100
1005383,36.419221,-89.005841,47131965600
1008025,31.244429,-89.045353,28111950102
1001912,42.509748,-92.26207,19013001900
1000229,35.8628,-76.7831,37117970100
1001985,43.667577,-116.73112,16027021801
1003498,42.3289,-93.6626,19079960200
1005624,43.635005,-95.566372,27105105100
1001090,41.694444,-87.515833,18089020200
1001267,32.644444,-97.319167,48439106002
1005073,45.9597,-86.2554,26153000300
1006878,48.593129,-97.173682,38067950500
1002832,47.131732,-119.18926,53025011002
1000907,37.09209,-120.9255,06047002100
1003901,44.57046,-95.11507,27127750200
1001733,31.905326,-93.173636,22069000200
1002433,39.679788,-85.687207,18145710100
1007561,44.00999,-107.96949,56043000302
1007176,36.083371,-87.93641,47085130200
1003943,37.5108,-78.9103,51009010202
1002339,44.2829,-88.2518,55087012300
1006296,42.948333,-114.6325,16047960102
1006722,40.92204,-98.3204,31079001000
1002346,39.99379,-90.404577,17017960300
1002696,35.374056,-93.5695,05083950100
1002865,39.561,-95.1333,20005081900
1005994,33.64108,-94.11243,05081030101
1005969,40.719022,-86.435982,18017951800
1011640,43.606826,-116.491937,16027021104
1006608,43.308507,-73.634808,36113070500
1001827,38,-101.026111,20055960100
1006445,37.76078,-120.84308,06099000202
1006360,46.122749,-122.974048,53015980000
1006054,42.669167,-93.904444,19197680500
1006008,26.734722,-80.9375,12051000200
1003061,41.983851,-91.667123,19113001300
1002036,31.5491,-84.1078,13095010702
1003135,42.76601,-85.07428,26045020700
1009708,27.891566,-81.800572,12105015301
1005780,34.7724,-79.325,37155960403
1005651,45.845558,-119.682827,41049970101
1004898,32.4861,-83.6087,13153021501
1005751,47.925833,-97.006111,27119020200
1004024,32.7454,-96.80715,48113021000
1000166,36.4769,-77.6414,37083930200
1000183,39.3265,-82.9744,39141956500
1005959,36.54799,-82.56475,47163040200
1003779,44.297222,-96.717222,46011958600
1002442,30.14578,-85.6212,12005001000
1007453,32.297817,-81.190961,13103030308
1007730,41.119594,-83.971018,39137030100
1001780,35.027817,-81.87896,45083022411
1000305,33.3278,-86.3583,01121011200
