facility_id,tech_scenario,capex,change_in_electricity_demand_kwh,heat_mmbtu,facility_name,state,fuels,ng_dum,fuel_oils_dum,coal_dum,byproducts_dum,propane_dum,other_dum,naics_code,naics_description,county_fips,subregion,latitude,longitude,sector,elec_price,ng_price,r,t,ngboiler_om_best,ngboiler_om_worst,eboiler_om_best,eboiler_om_worst,hthp_om_best,hthp_om_worst,pollutant_type,grid_emissions_kg_kwh,base_emissions,facility_emissions,base_lcoh
1000019,Scenario2,51553316.57187101,417803474.9306443,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,co2e,0.472887350088,158402.2,6443,8.23611613691948
1000019,Scenario2,51553316.57187101,417803474.9306443,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,nox,2.3858939200000002e-4,445.113,18.10494462198124,8.23611613691948
1000019,Scenario2,51553316.57187101,417803474.9306443,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,so2,1.4923176800000002e-4,150.133,6.10665078515323,8.23611613691948
1000019,Scenario2,51553316.57187101,417803474.9306443,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,pm25,1.0976926399999999e-5,129.701425,5.275597695454981,8.23611613691948
1000019,Scenario3,2748188.3372543547,571052122.0268788,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,co2e,0.472887350088,158402.2,6443,5.495437148256126
1000019,Scenario3,2748188.3372543547,571052122.0268788,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,nox,2.3858939200000002e-4,445.113,18.10494462198124,5.495437148256126
1000019,Scenario3,2748188.3372543547,571052122.0268788,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,so2,1.4923176800000002e-4,150.133,6.10665078515323,5.495437148256126
1000019,Scenario3,2748188.3372543547,571052122.0268788,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,pm25,1.0976926399999999e-5,129.701425,5.275597695454981,5.495437148256126
1000019,Scenario4,46397984.91468391,376023127.43757975,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,co2e,0.472887350088,158402.2,6443,7.9466156343386425
1000019,Scenario4,46397984.91468391,376023127.43757975,2165011.912665563,WESTERN SUGAR COMPANY,NE,"['Subbituminous', 'Natural Gas (Weighted U.S. Average)']",1,0,0,0,0,0,311313,Beet Sugar Manufacturing,31157,RMPA,41.859603,-103.637032,Food & Beverage,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,nox,2.3858939200000002e-4,445.113,18.10494462198124,7.9466156343386425
