facility_id,tech_scenario,capex,change_in_electricity_demand_kwh,heat_mmbtu,facility_name,state,fuels,ng_dum,biomass_dum,propane_dum,bituminous_dum,anthracite_dum,coalcoake_dum,distillate_dum,tires_dum,wood_dum,naics_code,county_fips,subregion,latitude,longitude,elec_price,ng_price,r,t,ngboiler_om_best,ngboiler_om_worst,eboiler_om_best,eboiler_om_worst,hthp_om_best,hthp_om_worst
1000038,Scenario3,500040.4904718247,103904517.5006389,393929.9224914925,tyson fresh meats,WA,"['Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,0,0,0,0,0,1,0,0,311611,53071,NWPP,46.13672,-118.91564,0.0637,12.3,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000038,Scenario4,8442242.04692691,62107494.881470546,393929.9224914925,tyson fresh meats,WA,"['Natural Gas (Weighted U.S. Average)', 'Distillate Fuel Oil No. 2']",1,0,0,0,0,0,1,0,0,311611,53071,NWPP,46.13672,-118.91564,0.0637,12.3,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000040,Baseline,163749.16270039463,0,945248.5244313559,"tyson fresh meats, inc.- dakota city, ne",NE,"['Distillate Fuel Oil No. 2', 'Natural Gas (Weighted U.S. Average)', 'Other Biomass Gases']",1,1,0,0,0,0,1,0,0,311611,31043,MROW,42.424893,-96.514309,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000040,Scenario1,1333182.7955167769,277024996.4710186,945248.5244313559,"tyson fresh meats, inc.- dakota city, ne",NE,"['Distillate Fuel Oil No. 2', 'Natural Gas (Weighted U.S. Average)', 'Other Biomass Gases']",1,1,0,0,0,0,1,0,0,311611,31043,MROW,42.424893,-96.514309,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000040,Scenario2,22508280.963270262,165587877.8346417,945248.5244313559,"tyson fresh meats, inc.- dakota city, ne",NE,"['Distillate Fuel Oil No. 2', 'Natural Gas (Weighted U.S. Average)', 'Other Biomass Gases']",1,1,0,0,0,0,1,0,0,311611,31043,MROW,42.424893,-96.514309,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000040,Scenario3,1199864.5159650994,249322496.8239168,945248.5244313559,"tyson fresh meats, inc.- dakota city, ne",NE,"['Distillate Fuel Oil No. 2', 'Natural Gas (Weighted U.S. Average)', 'Other Biomass Gases']",1,1,0,0,0,0,1,0,0,311611,31043,MROW,42.424893,-96.514309,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000040,Scenario4,20257452.866943233,149029090.05117756,945248.5244313559,"tyson fresh meats, inc.- dakota city, ne",NE,"['Distillate Fuel Oil No. 2', 'Natural Gas (Weighted U.S. Average)', 'Other Biomass Gases']",1,1,0,0,0,0,1,0,0,311611,31043,MROW,42.424893,-96.514309,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000041,Baseline,103389.45008430441,0,544079.9095363739,wisconsin paperboard,WI,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,322130,55079,RFCW,43.06139,-87.89162,0.0852,5.76,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000041,Scenario1,767372.7660316423,159454081.2533283,544079.9095363739,wisconsin paperboard,WI,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,322130,55079,RFCW,43.06139,-87.89162,0.0852,5.76,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000041,Scenario2,12955644.101832926,69985509.25744271,544079.9095363739,wisconsin paperboard,WI,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,322130,55079,RFCW,43.06139,-87.89162,0.0852,5.76,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000041,Scenario3,690635.4894284782,143508673.1279955,544079.9095363739,wisconsin paperboard,WI,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,322130,55079,RFCW,43.06139,-87.89162,0.0852,5.76,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000041,Scenario4,11660079.691649634,62986958.33169843,544079.9095363739,wisconsin paperboard,WI,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,322130,55079,RFCW,43.06139,-87.89162,0.0852,5.76,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000063,Baseline,283296.01145606785,0,1826020.354315869,chief ethanol fuels inc,NE,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,325193,31001,MROW,40.585,-98.318889,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000063,Scenario1,2575427.369327942,535153739.0811308,1826020.354315869,chief ethanol fuels inc,NE,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,325193,31001,MROW,40.585,-98.318889,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000063,Scenario2,43481241.30034188,294218417.6455513,1826020.354315869,chief ethanol fuels inc,NE,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,325193,31001,MROW,40.585,-98.318889,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000063,Scenario3,2317884.632395148,481638365.1730177,1826020.354315869,chief ethanol fuels inc,NE,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,325193,31001,MROW,40.585,-98.318889,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000063,Scenario4,39133117.170307696,264796575.88099623,1826020.354315869,chief ethanol fuels inc,NE,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,0,0,0,325193,31001,MROW,40.585,-98.318889,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000166,Baseline,308934.25889246876,0,2026289.732843947,"westrock kraft paper, llc",NC,"[nan, 'Natural Gas (Weighted U.S. Average)', 'Bituminous', 'Distillate Fuel Oil No. 4', 'Wood and Wood Residuals (dry basis)']",1,0,0,1,0,0,0,0,0,322120,37083,SRVC,36.4769,-77.6414,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000166,Scenario1,2857888.2068977132,593846900.1345898,2026289.732843947,"westrock kraft paper, llc",NC,"[nan, 'Natural Gas (Weighted U.S. Average)', 'Bituminous', 'Distillate Fuel Oil No. 4', 'Wood and Wood Residuals (dry basis)']",1,0,0,1,0,0,0,0,0,322120,37083,SRVC,36.4769,-77.6414,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000166,Scenario2,48250060.635935426,440488970.77197695,2026289.732843947,"westrock kraft paper, llc",NC,"[nan, 'Natural Gas (Weighted U.S. Average)', 'Bituminous', 'Distillate Fuel Oil No. 4', 'Wood and Wood Residuals (dry basis)']",1,0,0,1,0,0,0,0,0,322120,37083,SRVC,36.4769,-77.6414,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000166,Scenario3,2572099.386207942,534462210.1211308,2026289.732843947,"westrock kraft paper, llc",NC,"[nan, 'Natural Gas (Weighted U.S. Average)', 'Bituminous', 'Distillate Fuel Oil No. 4', 'Wood and Wood Residuals (dry basis)']",1,0,0,1,0,0,0,0,0,322120,37083,SRVC,36.4769,-77.6414,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000166,Scenario4,43425054.57234188,396440073.6947793,2026289.732843947,"westrock kraft paper, llc",NC,"[nan, 'Natural Gas (Weighted U.S. Average)', 'Bituminous', 'Distillate Fuel Oil No. 4', 'Wood and Wood Residuals (dry basis)']",1,0,0,1,0,0,0,0,0,322120,37083,SRVC,36.4769,-77.6414,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000183,Baseline,550173.108658785,0,4052868.847406907,pixelle specialty solutions llc,OH,"['Distillate Fuel Oil No. 2', 'Natural Gas (Weighted U.S. Average)', nan, 'Tires', 'Wood and Wood Residuals (dry basis)']",1,0,0,0,0,0,1,1,0,322120,39141,RFCW,39.3265,-82.9744,0.0716,7.73,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000183,Scenario1,5716184.559081194,1187778609.679209,4052868.847406907,pixelle specialty solutions llc,OH,"['Distillate Fuel Oil No. 2', 'Natural Gas (Weighted U.S. Average)', nan, 'Tires', 'Wood and Wood Residuals (dry basis)']",1,0,0,0,0,0,1,1,0,322120,39141,RFCW,39.3265,-82.9744,0.0716,7.73,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000183,Scenario2,96507012.03643572,881040849.3569393,4052868.847406907,pixelle specialty solutions llc,OH,"['Distillate Fuel Oil No. 2', 'Natural Gas (Weighted U.S. Average)', nan, 'Tires', 'Wood and Wood Residuals (dry basis)']",1,0,0,0,0,0,1,1,0,322120,39141,RFCW,39.3265,-82.9744,0.0716,7.73,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
1000183,Scenario3,5144566.103173074,1069000748.711288,4052868.847406907,pixelle specialty solutions llc,OH,"['Distillate Fuel Oil No. 2', 'Natural Gas (Weighted U.S. Average)', nan, 'Tires', 'Wood and Wood Residuals (dry basis)']",1,0,0,0,0,0,1,1,0,322120,39141,RFCW,39.3265,-82.9744,0.0716,7.73,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
