x,scenario_rank,lcoh_mi,lcoh_il
7.537688442211055,Best,12.585898126757373,12.961652794527568
7.613065326633166,Best,12.699237145102503,13.0787493595504
7.688442211055276,Best,12.81257616344763,13.19584592457323
7.763819095477387,Best,12.92591518179276,13.312942489596065
7.839195979899497,Best,13.03925420013789,13.430039054618893
7.914572864321608,Best,13.15259321848302,13.547135619641725
7.989949748743719,Best,13.265932236828148,13.664232184664556
8.065326633165828,Best,13.379271255173276,13.78132874968739
8.140703517587939,Best,13.492610273518407,13.898425314710224
8.21608040201005,Best,13.605949291863535,14.01552187973305
8.291457286432161,Best,13.719288310208663,14.132618444755884
8.36683417085427,Best,13.832627328553793,14.249715009778711
8.442211055276381,Best,13.945966346898924,14.366811574801545
8.517587939698492,Best,14.059305365244052,14.483908139824376
