"","state","policy_label","tech_clean","naics_description","mean_lcoh_delta","total_emissions","elec_to_ng_ratio_low","elec_to_ng_ratio_high"
"58","IL","Capex: -50%, Elec: -0%","Scenario4","Ethyl Alcohol Manufacturing",4.82741051150576,1582144.05358919,2.94622214222868,4.60646927226498
"59","IL","Capex: -50%, Elec: -50%","Scenario4","Ethyl Alcohol Manufacturing",-1.09573731461729,1582144.05358919,2.94622214222868,4.60646927226498
"60","IL","No Policy","Scenario4","Ethyl Alcohol Manufacturing",5.64796927826015,1582144.05358919,2.94622214222868,4.60646927226498
"61","WI","Capex: -0%, Elec: -50%","Scenario1","Ethyl Alcohol Manufacturing",5.47010717713473,1304193.10807361,4.13365248324973,5.00448307113784
"62","WI","Capex: -100%, Elec: -0%","Scenario1","Ethyl Alcohol Manufacturing",18.0515121713378,1304193.10807361,4.13365248324973,5.00448307113784
"63","WI","Capex: -50%, Elec: -0%","Scenario1","Ethyl Alcohol Manufacturing",18.1055147568422,1304193.10807361,4.13365248324973,5.00448307113784
"64","WI","Capex: -50%, Elec: -50%","Scenario1","Ethyl Alcohol Manufacturing",5.41610459163038,1304193.10807361,4.13365248324973,5.00448307113784
"65","WI","No Policy","Scenario1","Ethyl Alcohol Manufacturing",18.1595173423465,1304193.10807361,4.13365248324973,5.00448307113784
"66","WI","Capex: -0%, Elec: -50%","Scenario3","Ethyl Alcohol Manufacturing",4.18895524310216,1173774.21726625,4.13365248324973,5.00448307113784
"67","WI","Capex: -100%, Elec: -0%","Scenario3","Ethyl Alcohol Manufacturing",15.5122197378849,1173774.21726625,4.13365248324973,5.00448307113784
"68","WI","Capex: -50%, Elec: -0%","Scenario3","Ethyl Alcohol Manufacturing",15.5608220648388,1173774.21726625,4.13365248324973,5.00448307113784
"69","WI","Capex: -50%, Elec: -50%","Scenario3","Ethyl Alcohol Manufacturing",4.14035291614825,1173774.21726625,4.13365248324973,5.00448307113784
"70","WI","No Policy","Scenario3","Ethyl Alcohol Manufacturing",15.6094243917928,1173774.21726625,4.13365248324973,5.00448307113784
"71","WI","Capex: -0%, Elec: -50%","Scenario2","Ethyl Alcohol Manufacturing",1.93230199707572,717025.064888555,4.13365248324973,5.00448307113784
"72","WI","Capex: -100%, Elec: -0%","Scenario2","Ethyl Alcohol Manufacturing",7.10116476904483,717025.064888555,4.13365248324973,5.00448307113784
