"","facility_id","tech_scenario","clean_grid_co2e_emissions_mt","onsite_facility_co2e_emissions_mt","baseline_emissions","is_biogenic","diff_scen_baseline","diff_label"
"104",1000240,"hp_boiler_ee",21489.5468492639,0,56254.5,FALSE,-34764.9531507361,"-34,764.95"
"105",1000248,"eb_boiler",229048.230077895,0,111351.3,FALSE,117696.930077895,"117,696.93"
"106",1000248,"eb_boiler_ee",106839.756192332,0,111351.3,FALSE,-4511.54380766775,"-4,511.54"
"107",1000248,"hp_boiler",115816.875732792,0,111351.3,FALSE,4465.57573279222,"4,465.58"
"108",1000248,"hp_boiler_ee",50511.8302540929,0,111351.3,FALSE,-60839.4697459071,"-60,839.47"
"109",1000254,"eb_boiler",73605.748036623,187473.849612655,225597.9,FALSE,35481.697649278,"35,481.70"
"110",1000254,"eb_boiler_ee",63045.5412227053,187473.849612655,225597.9,FALSE,24921.4908353603,"24,921.49"
"111",1000254,"hp_boiler",73456.1456987141,187473.849612655,225597.9,FALSE,35332.0953113691,"35,332.10"
"112",1000254,"hp_boiler_ee",64214.6683392375,187473.849612655,225597.9,FALSE,26090.6179518925,"26,090.62"
"113",1000256,"eb_boiler",350387.265405988,785761.78,1851421.915,TRUE,-715272.869594012,"-715,272.87"
"114",1000256,"eb_boiler_ee",163438.460083899,785761.78,1851421.915,TRUE,-902221.674916101,"-902,221.67"
"115",1000256,"hp_boiler",177171.237525291,785761.78,1851421.915,TRUE,-888488.897474709,"-888,488.90"
"116",1000256,"hp_boiler_ee",77270.6345181713,785761.78,1851421.915,TRUE,-988389.500481829,"-988,389.50"
"117",1000258,"eb_boiler",91581.3146502985,313018.9975,698907.145,TRUE,-294306.832849701,"-294,306.83"
"118",1000258,"eb_boiler_ee",59111.5881636913,313018.9975,698907.145,TRUE,-326776.559336309,"-326,776.56"
"119",1000258,"hp_boiler",66367.8105394137,313018.9975,698907.145,TRUE,-319520.336960586,"-319,520.34"
"120",1000258,"hp_boiler_ee",45385.9150535081,313018.9975,698907.145,TRUE,-340502.232446492,"-340,502.23"
"121",1000261,"eb_boiler",1035880.02461411,0,536533.4,FALSE,499346.624614115,"499,346.62"
"122",1000261,"eb_boiler_ee",676930.291674269,0,536533.4,FALSE,140396.891674269,"140,396.89"
"123",1000261,"hp_boiler",654251.138299839,0,536533.4,FALSE,117717.738299839,"117,717.74"
"124",1000261,"hp_boiler_ee",427661.018708213,0,536533.4,FALSE,-108872.381291787,"-108,872.38"
