"","primary_naics","facility_id","reporting_year","facility_name","state","naics_title","sector","subregion","county_fips","tech_scenario","scenario_rank","non_elec_unit_ghg_emissions","non_elec_process_unit_heat_demand","non_elec_orig_process_unit_heat_demand","non_elec_orig_unit_ghg_emissions","non_elec_change_in_electricity_demand_kwh","elec_unit_ghg_emissions","elec_process_unit_heat_demand","elec_orig_process_unit_heat_demand","elec_orig_unit_ghg_emissions","elec_change_in_electricity_demand_kwh","change_in_electricity_demand_kwh","base_emissions","base_emissions_ee"
"33",311230,1002426,2023,"GNRL MILLS","IA","Breakfast Cereal Manufacturing","Food & Beverage","MROW",19113,"eb_boiler","best",45114.1,673753.70452735,673753.70452735,45114.1,0,0,0,0,0,0,0,45114.1,45114.1
"34",311230,1002426,2023,"GNRL MILLS","IA","Breakfast Cereal Manufacturing","Food & Beverage","MROW",19113,"eb_boiler","worst",45114.1,673753.70452735,673753.70452735,45114.1,0,0,0,0,0,0,0,45114.1,45114.1
"35",311230,1002426,2023,"GNRL MILLS","IA","Breakfast Cereal Manufacturing","Food & Beverage","MROW",19113,"eb_boiler_ee","best",45114.1,673753.70452735,673753.70452735,45114.1,0,45114.1,673753.70452735,673753.70452735,45114.1,0,0,90228.2,90228.2
"36",311230,1002426,2023,"GNRL MILLS","IA","Breakfast Cereal Manufacturing","Food & Beverage","MROW",19113,"eb_boiler_ee","worst",45114.1,673753.70452735,673753.70452735,45114.1,0,45114.1,673753.70452735,673753.70452735,45114.1,0,0,90228.2,90228.2
"37",311230,1002426,2023,"GNRL MILLS","IA","Breakfast Cereal Manufacturing","Food & Beverage","MROW",19113,"hp_boiler","best",45114.1,673753.70452735,673753.70452735,45114.1,0,0,0,0,0,0,0,45114.1,45114.1
"38",311230,1002426,2023,"GNRL MILLS","IA","Breakfast Cereal Manufacturing","Food & Beverage","MROW",19113,"hp_boiler","worst",45114.1,673753.70452735,673753.70452735,45114.1,0,0,0,0,0,0,0,45114.1,45114.1
"39",311230,1002426,2023,"GNRL MILLS","IA","Breakfast Cereal Manufacturing","Food & Beverage","MROW",19113,"hp_boiler_ee","best",45114.1,673753.70452735,673753.70452735,45114.1,0,45114.1,673753.70452735,673753.70452735,45114.1,0,0,90228.2,90228.2
"40",311230,1002426,2023,"GNRL MILLS","IA","Breakfast Cereal Manufacturing","Food & Beverage","MROW",19113,"hp_boiler_ee","worst",45114.1,673753.70452735,673753.70452735,45114.1,0,45114.1,673753.70452735,673753.70452735,45114.1,0,0,90228.2,90228.2
"41",311230,1004366,2023,"GENERAL MILLS INC.","GA","Breakfast Cereal Manufacturing","Food & Beverage","SRSO",13217,"eb_boiler","best",25574.1,385191.990887611,385191.990887611,25574.1,0,0,0,0,0,0,0,25574.1,25574.1
"42",311230,1004366,2023,"GENERAL MILLS INC.","GA","Breakfast Cereal Manufacturing","Food & Beverage","SRSO",13217,"eb_boiler","worst",25574.1,385191.990887611,385191.990887611,25574.1,0,0,0,0,0,0,0,25574.1,25574.1
"43",311230,1004366,2023,"GENERAL MILLS INC.","GA","Breakfast Cereal Manufacturing","Food & Beverage","SRSO",13217,"eb_boiler_ee","best",25574.1,385191.990887611,385191.990887611,25574.1,0,25574.1,385191.990887611,385191.990887611,25574.1,0,0,51148.2,51148.2
"44",311230,1004366,2023,"GENERAL MILLS INC.","GA","Breakfast Cereal Manufacturing","Food & Beverage","SRSO",13217,"eb_boiler_ee","worst",25574.1,385191.990887611,385191.990887611,25574.1,0,25574.1,385191.990887611,385191.990887611,25574.1,0,0,51148.2,51148.2
"45",311230,1004366,2023,"GENERAL MILLS INC.","GA","Breakfast Cereal Manufacturing","Food & Beverage","SRSO",13217,"hp_boiler","best",25574.1,385191.990887611,385191.990887611,25574.1,0,0,0,0,0,0,0,25574.1,25574.1
"46",311230,1004366,2023,"GENERAL MILLS INC.","GA","Breakfast Cereal Manufacturing","Food & Beverage","SRSO",13217,"hp_boiler","worst",25574.1,385191.990887611,385191.990887611,25574.1,0,0,0,0,0,0,0,25574.1,25574.1
"47",311230,1004366,2023,"GENERAL MILLS INC.","GA","Breakfast Cereal Manufacturing","Food & Beverage","SRSO",13217,"hp_boiler_ee","best",25574.1,385191.990887611,385191.990887611,25574.1,0,25574.1,385191.990887611,385191.990887611,25574.1,0,0,51148.2,51148.2
"48",311230,1004366,2023,"GENERAL MILLS INC.","GA","Breakfast Cereal Manufacturing","Food & Beverage","SRSO",13217,"hp_boiler_ee","worst",25574.1,385191.990887611,385191.990887611,25574.1,0,25574.1,385191.990887611,385191.990887611,25574.1,0,0,51148.2,51148.2
"49",311230,1004633,2023,"POST FOODS","MI","Breakfast Cereal Manufacturing","Food & Beverage","RFCM",26025,"eb_boiler","best",39663.3,597400.709787346,597400.709787346,39663.3,0,0,0,0,0,0,0,39663.3,39663.3
"50",311230,1004633,2023,"POST FOODS","MI","Breakfast Cereal Manufacturing","Food & Beverage","RFCM",26025,"eb_boiler","worst",39663.3,597400.709787346,597400.709787346,39663.3,0,0,0,0,0,0,0,39663.3,39663.3
"51",311230,1004633,2023,"POST FOODS","MI","Breakfast Cereal Manufacturing","Food & Beverage","RFCM",26025,"eb_boiler_ee","best",39663.3,597400.709787346,597400.709787346,39663.3,0,39663.3,597400.709787346,597400.709787346,39663.3,0,0,79326.6,79326.6
"52",311230,1004633,2023,"POST FOODS","MI","Breakfast Cereal Manufacturing","Food & Beverage","RFCM",26025,"eb_boiler_ee","worst",39663.3,597400.709787346,597400.709787346,39663.3,0,39663.3,597400.709787346,597400.709787346,39663.3,0,0,79326.6,79326.6
"53",311230,1004633,2023,"POST FOODS","MI","Breakfast Cereal Manufacturing","Food & Beverage","RFCM",26025,"hp_boiler","best",39663.3,597400.709787346,597400.709787346,39663.3,0,0,0,0,0,0,0,39663.3,39663.3
"54",311230,1004633,2023,"POST FOODS","MI","Breakfast Cereal Manufacturing","Food & Beverage","RFCM",26025,"hp_boiler","worst",39663.3,597400.709787346,597400.709787346,39663.3,0,0,0,0,0,0,0,39663.3,39663.3
"55",311230,1004633,2023,"POST FOODS","MI","Breakfast Cereal Manufacturing","Food & Beverage","RFCM",26025,"hp_boiler_ee","best",39663.3,597400.709787346,597400.709787346,39663.3,0,39663.3,597400.709787346,597400.709787346,39663.3,0,0,79326.6,79326.6
"56",311230,1004633,2023,"POST FOODS","MI","Breakfast Cereal Manufacturing","Food & Beverage","RFCM",26025,"hp_boiler_ee","worst",39663.3,597400.709787346,597400.709787346,39663.3,0,39663.3,597400.709787346,597400.709787346,39663.3,0,0,79326.6,79326.6
"57",311230,1006273,2023,"MOM BRANDS CO - PLANT 2 - NORTHFIELD","MN","Breakfast Cereal Manufacturing","Food & Beverage","MROW",27131,"eb_boiler","best",37319.4,562097.355712658,562097.355712658,37319.4,0,0,0,0,0,0,0,37319.4,37319.4
"58",311230,1006273,2023,"MOM BRANDS CO - PLANT 2 - NORTHFIELD","MN","Breakfast Cereal Manufacturing","Food & Beverage","MROW",27131,"eb_boiler","worst",37319.4,562097.355712658,562097.355712658,37319.4,0,0,0,0,0,0,0,37319.4,37319.4
"59",311230,1006273,2023,"MOM BRANDS CO - PLANT 2 - NORTHFIELD","MN","Breakfast Cereal Manufacturing","Food & Beverage","MROW",27131,"eb_boiler_ee","best",37319.4,562097.355712658,562097.355712658,37319.4,0,37319.4,562097.355712658,562097.355712658,37319.4,0,0,74638.8,74638.8
"60",311230,1006273,2023,"MOM BRANDS CO - PLANT 2 - NORTHFIELD","MN","Breakfast Cereal Manufacturing","Food & Beverage","MROW",27131,"eb_boiler_ee","worst",37319.4,562097.355712658,562097.355712658,37319.4,0,37319.4,562097.355712658,562097.355712658,37319.4,0,0,74638.8,74638.8
"61",311230,1006273,2023,"MOM BRANDS CO - PLANT 2 - NORTHFIELD","MN","Breakfast Cereal Manufacturing","Food & Beverage","MROW",27131,"hp_boiler","best",37319.4,562097.355712658,562097.355712658,37319.4,0,0,0,0,0,0,0,37319.4,37319.4
"62",311230,1006273,2023,"MOM BRANDS CO - PLANT 2 - NORTHFIELD","MN","Breakfast Cereal Manufacturing","Food & Beverage","MROW",27131,"hp_boiler","worst",37319.4,562097.355712658,562097.355712658,37319.4,0,0,0,0,0,0,0,37319.4,37319.4
"63",311230,1006273,2023,"MOM BRANDS CO - PLANT 2 - NORTHFIELD","MN","Breakfast Cereal Manufacturing","Food & Beverage","MROW",27131,"hp_boiler_ee","best",37319.4,562097.355712658,562097.355712658,37319.4,0,37319.4,562097.355712658,562097.355712658,37319.4,0,0,74638.8,74638.8
"64",311230,1006273,2023,"MOM BRANDS CO - PLANT 2 - NORTHFIELD","MN","Breakfast Cereal Manufacturing","Food & Beverage","MROW",27131,"hp_boiler_ee","worst",37319.4,562097.355712658,562097.355712658,37319.4,0,37319.4,562097.355712658,562097.355712658,37319.4,0,0,74638.8,74638.8
"65",311313,1001783,2023,"WESTERN SUGAR COOPERATIVE","MT","Beet Sugar Manufacturing","Food & Beverage","NWPP",30111,"eb_boiler","best",115114.6,999465.444161889,999465.444161889,115114.6,0,0,0,0,0,0,0,115114.6,115114.6
"66",311313,1001783,2023,"WESTERN SUGAR COOPERATIVE","MT","Beet Sugar Manufacturing","Food & Beverage","NWPP",30111,"eb_boiler","worst",115114.6,999465.444161889,999465.444161889,115114.6,0,0,0,0,0,0,0,115114.6,115114.6
"67",311313,1001783,2023,"WESTERN SUGAR COOPERATIVE","MT","Beet Sugar Manufacturing","Food & Beverage","NWPP",30111,"eb_boiler_ee","best",115114.6,999465.444161889,999465.444161889,115114.6,0,115114.6,999465.444161889,999465.444161889,115114.6,0,0,230229.2,230229.2
"68",311313,1001783,2023,"WESTERN SUGAR COOPERATIVE","MT","Beet Sugar Manufacturing","Food & Beverage","NWPP",30111,"eb_boiler_ee","worst",115114.6,999465.444161889,999465.444161889,115114.6,0,115114.6,999465.444161889,999465.444161889,115114.6,0,0,230229.2,230229.2
"69",311313,1001783,2023,"WESTERN SUGAR COOPERATIVE","MT","Beet Sugar Manufacturing","Food & Beverage","NWPP",30111,"hp_boiler","best",115114.6,999465.444161889,999465.444161889,115114.6,0,0,0,0,0,0,0,115114.6,115114.6
"70",311313,1001783,2023,"WESTERN SUGAR COOPERATIVE","MT","Beet Sugar Manufacturing","Food & Beverage","NWPP",30111,"hp_boiler","worst",115114.6,999465.444161889,999465.444161889,115114.6,0,0,0,0,0,0,0,115114.6,115114.6
"71",311313,1001783,2023,"WESTERN SUGAR COOPERATIVE","MT","Beet Sugar Manufacturing","Food & Beverage","NWPP",30111,"hp_boiler_ee","best",115114.6,999465.444161889,999465.444161889,115114.6,0,115114.6,999465.444161889,999465.444161889,115114.6,0,0,230229.2,230229.2
