facility_id,nei_id,match_type,match_score
1003753,4702311,FRS Link,NA
1003780,6158311,FRS Link,NA
1003790,8130611,FRS Link,NA
1003837,9477911,FRS Link,NA
1003842,7339111,FRS Link,NA
1003855,15414811,FRS Link,NA
1003884,4985811,FRS Link,NA
1003903,8484111,FRS Link,NA
1003907,6930211,FRS Link,NA
1003910,9123011,FRS Link,NA
1003940,6616811,FRS Link,NA
1003954,16431911,FRS Link,NA
1003966,8107111,FRS Link,NA
1003970,15415611,FRS Link,NA
1003975,4802111,FRS Link,NA
1004017,7394911,FRS Link,NA
1004018,4182411,FRS Link,NA
1004022,897611,FRS Link,NA
1004033,5549011,FRS Link,NA
1004039,16408411,FRS Link,NA
1004045,4943911,FRS Link,NA
1004055,987011,FRS Link,NA
1004055,8418611,FRS Link,NA
1004067,1044511,FRS Link,NA
1004079,15415511,FRS Link,NA
1004083,6678711,FRS Link,NA
1004091,12651311,FRS Link,NA
1004098,7524811,FRS Link,NA
1004103,5805711,FRS Link,NA
1004105,5322511,FRS Link,NA
1004114,7741111,FRS Link,NA
1004114,10702011,FRS Link,NA
1004127,7914711,FRS Link,NA
1004133,10695411,FRS Link,NA
1004136,8124911,FRS Link,NA
1004178,8073511,FRS Link,NA
1004178,7763411,FRS Link,NA
1004178,8134511,FRS Link,NA
1004183,8384811,FRS Link,NA
1004190,5863711,FRS Link,NA
1004199,4966111,FRS Link,NA
1004205,621211,FRS Link,NA
1004206,999511,FRS Link,NA
1004208,8465611,FRS Link,NA
1004230,6374511,FRS Link,NA
1004234,5729211,FRS Link,NA
1004234,5847311,FRS Link,NA
1004236,7341911,FRS Link,NA
1004257,3906011,FRS Link,NA
1004262,4984411,FRS Link,NA
1004274,1082811,FRS Link,NA
1004277,15014511,FRS Link,NA
1004288,15414511,FRS Link,NA
1004307,976011,FRS Link,NA
1004314,8467311,FRS Link,NA
1004314,21966411,FRS Link,NA
1004331,15414711,FRS Link,NA
1004332,15415211,FRS Link,NA
1004365,537811,FRS Link,NA
1004396,4208011,FRS Link,NA
1004410,7351811,FRS Link,NA
1004477,7169111,FRS Link,NA
1004490,9670011,FRS Link,NA
1004504,9308811,FRS Link,NA
1004526,9162511,FRS Link,NA
1004528,5178511,FRS Link,NA
1004529,6021511,FRS Link,NA
1004530,8165511,FRS Link,NA
1004553,6356611,FRS Link,NA
1004554,554511,FRS Link,NA
1004570,9588611,FRS Link,NA
1004570,7228511,FRS Link,NA
1004584,6937411,FRS Link,NA
1004596,5286911,FRS Link,NA
1004615,8063311,FRS Link,NA
1004621,5729211,FRS Link,NA
1004621,5847311,FRS Link,NA
1004626,7844311,FRS Link,NA
1004640,8165311,FRS Link,NA
1004656,7622911,FRS Link,NA
1004668,9709911,FRS Link,NA
1004669,716311,FRS Link,NA
1004702,16663511,FRS Link,NA
1004708,4686211,FRS Link,NA
1004720,3811611,FRS Link,NA
1004720,5018911,FRS Link,NA
1004737,7951611,FRS Link,NA
1004737,4761311,FRS Link,NA
1004761,7658711,FRS Link,NA
1004765,15647911,FRS Link,NA
1004767,7931011,FRS Link,NA
1004791,8468111,FRS Link,NA
1004792,9639811,FRS Link,NA
1004798,5128911,FRS Link,NA
1004809,17956511,FRS Link,NA
1004821,7770211,FRS Link,NA
1004832,13882511,FRS Link,NA
1004833,7246511,FRS Link,NA
1004836,13603211,FRS Link,NA
1004836,6785311,FRS Link,NA
1004836,6772811,FRS Link,NA
1004836,8161811,FRS Link,NA
1004836,6772511,FRS Link,NA
